year,hs_eci,locationcode,complexity_harv_rank_simple,complexity_harv_rank_normed,complexity_harv_rank_common
1999,-0.9967092,BEN,184,0.851162790697675,181
2000,-0.75034773,BEN,180,0.778260869565217,163
2001,-0.8529468,BEN,189,0.817391304347826,172
2002,-0.67685926,BEN,181,0.782608695652174,164
2003,-0.9898896,BEN,201,0.869565217391304,184
2004,-0.995755,BEN,200,0.865217391304348,183
2005,-0.7300077,BEN,179,0.773913043478261,163
2006,-0.8223023,BEN,189,0.813852813852814,172
2007,-0.90627855,BEN,191,0.822510822510823,174
2008,-0.89856553,BEN,192,0.826839826839827,174
2009,-0.6275302,BEN,174,0.748917748917749,156
2010,-1.1151272,BEN,208,0.896103896103896,189
2011,-0.9205583,BEN,194,0.828326180257511,173
2012,-1.1059607,BEN,210,0.893162393162393,189
2013,-0.7880575,BEN,181,0.765957446808511,159
2014,-1.0985591,BEN,202,0.858974358974359,181
2015,-0.43390936,BEN,161,0.683760683760684,141
2016,-0.8760502,BEN,189,0.803418803418803,169
1995,-0.700566,BFA,163,0.743119266055046,157
1996,-0.7284106,BFA,159,0.738317757009346,157
1997,-0.6427777,BFA,153,0.710280373831776,151
1998,-0.88727695,BFA,170,0.789719626168224,168
1999,-0.75348103,BFA,165,0.762790697674419,162
2000,-0.085979015,BFA,124,0.534782608695652,110
2001,-0.14498544,BFA,134,0.578260869565217,120
2002,-0.17649232,BFA,146,0.630434782608696,130
2003,-0.79980266,BFA,188,0.81304347826087,171
2004,-0.8544318,BFA,190,0.821739130434783,174
2005,-1.2845427,BFA,211,0.91304347826087,194
2006,-0.82221323,BFA,188,0.80952380952381,171
2007,-0.80072516,BFA,186,0.800865800865801,169
2008,-0.9611455,BFA,197,0.848484848484848,179
2009,-1.1080351,BFA,213,0.917748917748918,195
2010,-0.3653315,BFA,153,0.658008658008658,135
2011,-1.3455492,BFA,223,0.952789699570815,202
2012,-1.2552581,BFA,220,0.935897435897436,199
2013,-1.2168287,BFA,213,0.902127659574468,191
2014,-1.3784369,BFA,221,0.94017094017094,200
2015,-1.6522821,BFA,230,0.978632478632479,209
2016,-1.5745686,BFA,228,0.97008547008547,207
1995,-1.24098,BGD,204,0.931192660550459,198
1996,-1.194183,BGD,190,0.883177570093458,188
1997,-1.1894714,BGD,193,0.897196261682243,191
1998,-1.2888026,BGD,197,0.91588785046729,195
1999,-1.4592016,BGD,207,0.958139534883721,204
2000,-1.1725867,BGD,208,0.9,190
2001,-1.1596723,BGD,211,0.91304347826087,194
2002,-1.267555,BGD,212,0.917391304347826,195
2003,-1.241231,BGD,215,0.930434782608696,198
2004,-1.2578521,BGD,216,0.934782608695652,199
2005,-1.2771086,BGD,210,0.908695652173913,193
2006,-1.186849,BGD,209,0.900432900432901,190
2007,-1.068555,BGD,204,0.878787878787879,186
2008,-1.1662215,BGD,210,0.904761904761905,192
2009,-1.3301529,BGD,218,0.939393939393939,200
2010,-1.1051949,BGD,207,0.891774891774892,188
2011,-1.2867663,BGD,217,0.927038626609442,196
2012,-1.1772085,BGD,213,0.905982905982906,192
2013,-1.1593245,BGD,210,0.88936170212766,188
2014,-1.2644948,BGD,214,0.91025641025641,193
2015,-1.196687,BGD,212,0.901709401709402,191
2016,-1.1778002,BGD,212,0.901709401709402,191
1995,0.41947633,BGR,72,0.325688073394495,67
1996,0.5181394,BGR,61,0.280373831775701,60
1997,0.46554938,BGR,64,0.294392523364486,62
1998,0.33167607,BGR,79,0.364485981308411,77
1999,0.2726094,BGR,86,0.395348837209302,83
2000,0.3909498,BGR,88,0.378260869565217,75
2001,0.35950112,BGR,88,0.378260869565217,76
2002,0.3789475,BGR,86,0.369565217391304,73
2003,0.3216049,BGR,85,0.365217391304348,74
2004,0.30508396,BGR,92,0.395652173913043,80
2005,0.28380486,BGR,95,0.408695652173913,84
2006,0.3982196,BGR,87,0.372294372294372,75
2007,0.39253524,BGR,93,0.398268398268398,80
2008,0.384532,BGR,93,0.398268398268398,80
2009,0.3042942,BGR,98,0.41991341991342,84
2010,0.42235434,BGR,83,0.354978354978355,72
2011,0.4460542,BGR,80,0.339055793991416,69
2012,0.4932517,BGR,82,0.346153846153846,70
2013,0.47175932,BGR,85,0.357446808510638,71
2014,0.52509516,BGR,80,0.337606837606838,69
2015,0.45505503,BGR,82,0.346153846153846,71
